player_name,name_in_home_country,date_of_birth,place_of_birth,age,height,citizenship,position,foot,player_agent,current_club,joined,contract_expires,date_of_last_contract_extension,outfitter,twitter,facebook,instagram,website,player_valuation,max_player_valuation,max_player_valuation_date,URL,query_date,tik_tok,on_loan_from,contract_there_expires,full_name,contract_option,x2nd_club
Thibaut Courtois,Thibaut Nicolas Marc Courtois,1992-05-11,Bree,31,2,Belgium,Goalkeeper,left,Christophe Henrotay,Real Madrid,2018-08-09,2026-06-30,2021-08-16,Nike,http://twitter.com/thibautcourtois,http://www.facebook.com/CourtoisOfficial,http://www.instagram.com/thibautcourtois/,http://www.thibautcourtois.com/,45000000,75000000,2020-10-08,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,2023-07-29,NA,NA,NA,NA,NA,NA
Andriy Lunin,Лунін Андрій Олексійович,1999-02-11,"Krasnograd, Kharkiv Oblast",24,1.91,Ukraine,Goalkeeper,right,Relatives,Real Madrid,2018-07-01,2024-06-30,NA,Nike,http://twitter.com/AndreyLunin13,NA,http://www.instagram.com/lunin_andrey/,NA,5000000,8500000,2018-07-12,https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839,2023-07-29,NA,NA,NA,NA,NA,NA
Luis López,Luis Federico López Andugar,2001-05-08,Murcia,22,1.93,Spain,Goalkeeper,left,Best of You,CD Mirandés,2023-07-25,2025-06-30,NA,adidas,http://twitter.com/luiss25_,NA,http://www.instagram.com/luis25lopez/,NA,NA,NA,2021-10-13,https://www.transfermarkt.com/luis-lopez/profil/spieler/623525,2023-07-29,NA,NA,NA,NA,NA,NA
Éder Militão,Éder Gabriel Militão,1998-01-18,Sertãozinho,25,1.86,Brazil Spain,Defender - Centre-Back,right,UJ Football Talent,Real Madrid,2019-07-01,2025-06-30,NA,adidas,http://twitter.com/edermilitao,NA,http://www.instagram.com/edermilitao/,NA,70000000,70000000,2023-03-23,https://www.transfermarkt.com/eder-militao/profil/spieler/401530,2023-07-29,NA,NA,NA,NA,NA,NA
David Alaba,David Olatukunbo Alaba,1992-06-24,Wien,31,1.8,Austria,Defender - Centre-Back,left,Relatives,Real Madrid,2021-07-01,2026-06-30,NA,adidas,http://twitter.com/David_Alaba/,http://www.facebook.com/david.alaba.10888/?fref=ts,http://www.instagram.com/davidalaba/?hl=com,http://www.david-alaba.com/,40000000,65000000,2019-12-17,https://www.transfermarkt.com/david-alaba/profil/spieler/59016,2023-07-29,http://www.tiktok.com/@davidalaba,NA,NA,NA,NA,NA
Antonio Rüdiger,NA,1993-03-03,Berlin,30,1.9,Germany Sierra Leone,Defender - Centre-Back,right,FSB – ...,Real Madrid,2022-07-01,2026-06-30,NA,Under Armour,http://twitter.com/ToniRuediger,http://www.facebook.com/toni.ruediger,http://www.instagram.com/toniruediger/,NA,32000000,50000000,2019-06-13,https://www.transfermarkt.com/antonio-rudiger/profil/spieler/86202,2023-07-29,NA,NA,NA,NA,NA,NA
Nacho Fernández,José Ignacio Fernández Iglesias,1990-01-18,Madrid,33,1.8,Spain,Defender - Centre-Back,right,Niagara Sports ...,Real Madrid,2012-09-01,2024-06-30,2023-06-22,NA,http://twitter.com/nachofi1990,http://www.facebook.com/Nachofernandeziglesiasoficial,http://www.instagram.com/nachofdez90/,NA,6000000,35000000,2018-07-15,https://www.transfermarkt.com/nacho-fernandez/profil/spieler/58884,2023-07-29,NA,NA,NA,NA,NA,NA
Jesús Vallejo,Jesús Vallejo Lázaro,1997-01-05,Zaragoza,26,1.84,Spain,Defender - Centre-Back,right,NA,Granada CF,2023-07-15,2024-06-30,NA,Nike,http://twitter.com/JesusVallejo,NA,http://www.instagram.com/jesusvallejo1997/,NA,2000000,15000000,2017-08-17,https://www.transfermarkt.com/jesus-vallejo/profil/spieler/251896,2023-07-29,NA,Real Madrid,"Jun 30, 2025",NA,NA,NA
Ferland Mendy,Ferland Sinna Mendy,1995-06-08,Meulan-en-Yvelines,28,1.8,France Senegal,Defender - Left-Back,left,FS Management,Real Madrid,2019-07-01,2025-06-30,NA,NA,http://twitter.com/ferland_mendy,NA,http://www.instagram.com/ferland_mendy/,NA,25000000,50000000,2021-03-19,https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417,2023-07-29,NA,NA,NA,NA,NA,NA
Daniel Carvajal,Daniel Carvajal Ramos,1992-01-11,Leganés,31,1.73,Spain,Defender - Right-Back,right,Ginés Carvajal,Real Madrid,2013-07-01,2025-06-30,2021-07-29,Nike,http://twitter.com/DaniCarvajal92,http://www.facebook.com/danicarvajaloficial,http://www.instagram.com/dani.carvajal.2/,NA,12000000,60000000,2018-03-22,https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927,2023-07-29,NA,NA,NA,NA,NA,NA
Lucas Vázquez,Lucas Vázquez Iglesias,1991-07-01,A Coruña,32,1.73,Spain,Defender - Right-Back,right,AC Talent,Real Madrid,2015-07-02,2024-06-30,2021-06-03,adidas,http://twitter.com/Lucasvazquez91,http://t.co/9wN2grTJEr,http://www.instagram.com/lucasvazquez91/,NA,8000000,25000000,2018-03-22,https://www.transfermarkt.com/lucas-vazquez/profil/spieler/221316,2023-07-29,NA,NA,NA,NA,NA,NA
Álvaro Odriozola,Álvaro Odriozola Arzallus,1995-12-14,San Sebastián,27,1.76,Spain,Defender - Right-Back,right,Best of You,Real Madrid,2018-07-05,2024-06-30,NA,adidas,http://twitter.com/alvaroodriozola,NA,http://www.instagram.com/alvaroodriozola/,NA,5000000,30000000,2018-07-15,https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730,2023-07-29,NA,NA,NA,NA,NA,NA
Aurélien Tchouaméni,Aurélien Djani Tchouameni,2000-01-27,Rouen,23,1.88,France Cameroon,midfield - Defensive Midfield,right,ESN,Real Madrid,2022-07-01,2028-06-30,NA,Nike,http://twitter.com/atchouameni,NA,http://instagram.com/aurelientchm,NA,85000000,90000000,2022-12-23,https://www.transfermarkt.com/aurelien-tchouameni/profil/spieler/413112,2023-07-29,NA,NA,NA,NA,NA,NA
Federico Valverde,Federico Santiago Valverde Dipetta,1998-07-22,Montevideo,25,1.82,Uruguay Spain,midfield - Central Midfield,right,Wasserman,Real Madrid,2018-07-01,2027-06-30,2021-08-24,NA,http://twitter.com/fedeevalverde,http://www.facebook.com/FedeValverdeOficial,http://www.instagram.com/fedevalverde/,NA,100000000,100000000,2022-11-07,https://www.transfermarkt.com/federico-valverde/profil/spieler/369081,2023-07-29,NA,NA,NA,NA,NA,NA
Eduardo Camavinga,Eduardo Celmi Camavinga,2002-11-10,Cabinda,20,1.82,France Congo,midfield - Central Midfield,left,CAA Stellar,Real Madrid,2021-08-31,2027-06-30,NA,Nike,http://twitter.com/Camavinga,NA,http://www.instagram.com/camavinga/,NA,85000000,85000000,2023-06-13,https://www.transfermarkt.com/eduardo-camavinga/profil/spieler/640428,2023-07-29,http://www.tiktok.com/@camavinga,NA,NA,NA,NA,NA
Toni Kroos,NA,1990-01-04,Greifswald,33,1.83,Germany,midfield - Central Midfield,right,Sports360 GmbH,Real Madrid,2014-07-17,2024-06-30,2023-06-21,adidas,http://twitter.com/ToniKroos,http://www.facebook.com/ToniKroos,http://www.instagram.com/toni.kr8s/,http://www.toni-kroos.de/,15000000,80000000,2018-01-01,https://www.transfermarkt.com/toni-kroos/profil/spieler/31909,2023-07-29,http://www.tiktok.com/@toni.kr8s,NA,NA,NA,NA,NA
Dani Ceballos,Daniel Ceballos Fernández,1996-08-07,Utrera,26,1.79,Spain,midfield - Central Midfield,right,Relatives,Real Madrid,2017-07-14,2027-06-30,2023-06-23,Nike,http://twitter.com/DaniCeballos46,NA,http://www.instagram.com/danifuli10/,NA,12000000,45000000,2019-09-12,https://www.transfermarkt.com/dani-ceballos/profil/spieler/319745,2023-07-29,NA,NA,NA,NA,NA,NA
Luka Modric,Luka Modrić,1985-09-09,Zadar,37,1.72,Croatia,midfield - Central Midfield,right,Universal Twenty Two,Real Madrid,2012-08-27,2024-06-30,2023-06-26,Nike,http://twitter.com/lukamodric10,http://www.facebook.com/ModricLuka10,http://instagram.com/lukamodric10/,http://www.lukamodricofficial.com/,10000000,55000000,2014-07-20,https://www.transfermarkt.com/luka-modric/profil/spieler/27992,2023-07-29,NA,NA,NA,NA,NA,NA
Vinicius Junior,NA,2000-07-12,São Gonçalo,23,1.76,Brazil Spain,Attack - Left Winger,right,TFM Agency,Real Madrid,2018-07-12,NA,NA,Nike,http://twitter.com/vinijr,http://facebook.com/viniiciusjunior11,http://www.instagram.com/vinijr/,NA,150000000,150000000,2023-06-13,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998,2023-07-29,http://vm.tiktok.com/ZMNF3aV3E,NA,NA,Vinicius José Paixão de Oliveira Junior,NA,NA
Eden Hazard,Eden Michael Hazard,1991-01-07,La Louvière,32,1.75,Belgium,Attack - Left Winger,right,Relatives,Without Club,2023-07-01,NA,NA,Nike,http://twitter.com/hazardeden10,http://www.facebook.com/edenhazard/,http://www.instagram.com/hazardeden_10/,NA,5000000,150000000,2018-10-17,https://www.transfermarkt.com/eden-hazard/profil/spieler/50202,2023-07-29,NA,NA,NA,NA,NA,NA
Rodrygo,NA,2001-01-09,Osasco,22,1.74,Brazil Spain,Attack - Right Winger,right,Un1que Football,Real Madrid,2019-07-01,2025-06-30,NA,Nike,http://twitter.com/RodrygoGoes,http://facebook.com/rodrygogoes01/,http://instagram.com/rodrygogoes/,NA,100000000,100000000,2023-06-13,https://www.transfermarkt.com/rodrygo/profil/spieler/412363,2023-07-29,http://www.tiktok.com/@rodrygogoes,NA,NA,Rodrygo Silva de Goes,NA,NA
Marco Asensio,Marco Asensio Willemsen,1996-01-21,Palma de Mallorca,27,1.82,Spain Netherlands,Attack - Right Winger,left,Gestifute,Paris Saint-Germain,2023-07-06,2026-06-30,NA,adidas,http://twitter.com/marcoasensio10,http://www.facebook.com/marcoasensio10,http://www.instagram.com/marcoasensio10/,NA,25000000,90000000,2018-10-31,https://www.transfermarkt.com/marco-asensio/profil/spieler/296622,2023-07-29,http://www.tiktok.com/@marcoasensio10,NA,NA,NA,NA,NA
Karim Benzema,كريم بن زيما,1987-12-19,Lyon,35,1.85,France Algeria,Attack - Centre-Forward,right,NA,Ittihad Club,2023-07-01,2026-06-30,NA,adidas,http://twitter.com/benzema,http://www.facebook.com/KarimBenzema/?ref=ts&fref=ts,http://www.instagram.com/karimbenzema/,http://k-benzema.fr/,25000000,60000000,2016-02-22,https://www.transfermarkt.com/karim-benzema/profil/spieler/18922,2023-07-29,NA,NA,NA,NA,NA,NA
Álvaro Rodríguez,Álvaro Daniel Rodríguez Muñoz,2004-07-14,Palamós,19,1.93,Uruguay Spain,Attack - Centre-Forward,left,Footfeel ISM,Real Madrid Castilla,2021-07-01,2027-06-30,2022-08-11,NA,NA,NA,http://instagram.com/alvarorodrigz_,NA,6000000,6000000,2023-03-23,https://www.transfermarkt.com/alvaro-rodriguez/profil/spieler/948275,2023-07-29,NA,NA,NA,NA,NA,NA
Mariano Díaz,Mariano Díaz Mejía,1993-08-01,Premià de Mar,29,1.8,Dominican Republic Spain,Attack - Centre-Forward,right,YOU FIRST,Without Club,2023-07-01,NA,NA,NA,http://twitter.com/marianodiaz7,http://t.co/yiPoxbmadS,http://www.instagram.com/marianodiazmejia/,NA,2500000,22000000,2018-01-24,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020,2023-07-29,NA,NA,NA,NA,NA,NA
Marc-André ter Stegen,Marc-André ter Stegen,1992-04-30,Mönchengladbach,31,1.87,Germany,Goalkeeper,right,ROOF,FC Barcelona,2014-07-01,2025-06-30,2020-10-20,adidas,http://twitter.com/mterstegen1 ,http://www.facebook.com/mterstegen1,http://www.instagram.com/mterstegen1 ,NA,35000000,90000000,2019-06-11,https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857,2023-07-29,NA,NA,NA,NA,NA,NA
